          Hostname                         Filesystem  Size   Used Avail Use%                                                                                                                        Mounted on
0            ubred                              tmpfs   97M   4.1M   93M   5%                                                                                                                              /run
1            ubred  /dev/mapper/ubuntu--vg-ubuntu--lv   30G   5.6G   23G  20%                                                                                                                                 /
2            ubred                              tmpfs  481M      0  481M   0%                                                                                                                          /dev/shm
3            ubred                              tmpfs  5.0M      0  5.0M   0%                                                                                                                         /run/lock
4            ubred                          /dev/sda2  2.0G   197M  1.6G  11%                                                                                                                             /boot
5            ubred                              tmpfs   97M    12K   97M   1%                                                                                                                    /run/user/1001
6           ubred2                              tmpfs   97M   988K   96M   2%                                                                                                                              /run
7           ubred2  /dev/mapper/ubuntu--vg-ubuntu--lv   30G   5.5G   23G  20%                                                                                                                                 /
8           ubred2                              tmpfs  481M      0  481M   0%                                                                                                                          /dev/shm
9           ubred2                              tmpfs  5.0M      0  5.0M   0%                                                                                                                         /run/lock
10          ubred2                          /dev/sda2  2.0G   197M  1.6G  11%                                                                                                                             /boot
11          ubred2                              tmpfs   97M    12K   97M   1%                                                                                                                    /run/user/1001
12     sys-monitor                               udev  959M      0  959M   0%                                                                                                                              /dev
13     sys-monitor                              tmpfs  198M   1.5M  196M   1%                                                                                                                              /run
14     sys-monitor  /dev/mapper/sys--monitor--vg-root   29G   6.5G   21G  24%                                                                                                                                 /
15     sys-monitor                              tmpfs  987M      0  987M   0%                                                                                                                          /dev/shm
16     sys-monitor                              tmpfs  5.0M      0  5.0M   0%                                                                                                                         /run/lock
17     sys-monitor                              tmpfs  1.0M      0  1.0M   0%                                                                                         /run/credentials/systemd-journald.service
18     sys-monitor                              tmpfs  987M   124K  987M   1%                                                                                                                              /tmp
19     sys-monitor                          /dev/sda1  943M   136M  743M  16%                                                                                                                             /boot
20     sys-monitor                              tmpfs  1.0M      0  1.0M   0%                                                                                               /run/credentials/getty@tty1.service
21     sys-monitor                              tmpfs  2.0G    12K  2.0G   1%                  /var/lib/kubelet/pods/e03662cf-02f2-499f-925b-7cb02bc8d1ef/volumes/kubernetes.io~projected/kube-api-access-v5xjv
22     sys-monitor                              tmpfs  2.0G    12K  2.0G   1%                  /var/lib/kubelet/pods/68c47689-718c-4e4a-af5b-c13a1e417a8b/volumes/kubernetes.io~projected/kube-api-access-9jncp
23     sys-monitor                              tmpfs  2.0G    12K  2.0G   1%                  /var/lib/kubelet/pods/e203b927-4e33-4d2c-b379-3dfb08ab596d/volumes/kubernetes.io~projected/kube-api-access-xljjd
24     sys-monitor                              tmpfs  170M    12K  170M   1%                  /var/lib/kubelet/pods/e0406fc9-0679-4c2e-910f-b0cb4241b990/volumes/kubernetes.io~projected/kube-api-access-nzjkn
25     sys-monitor                                shm   64M      0   64M   0%      /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/f53f070a39d385ad7d6adad9ebb035ed176ce069c54160f7e6d0daac52df0d15/shm
26     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/f53f070a39d385ad7d6adad9ebb035ed176ce069c54160f7e6d0daac52df0d15/rootfs
27     sys-monitor                                shm   64M      0   64M   0%      /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/be6a33d30602ca8b4894ed92462dd10ec84e2ce24b6be718e709f04dc78021ce/shm
28     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/be6a33d30602ca8b4894ed92462dd10ec84e2ce24b6be718e709f04dc78021ce/rootfs
29     sys-monitor                                shm   64M      0   64M   0%      /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/0a3ad301af6fb7de275d9d379d41057c2a9ce8c6f8792cf340af995aca01fe84/shm
30     sys-monitor                                shm   64M      0   64M   0%      /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/2cf3778fdddf83876259c4c028cdb0a5f4bd9b3ec82a61bff06fc0e88c50e917/shm
31     sys-monitor                                shm   64M      0   64M   0%      /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/5ac7674e5c72c5b84231d2efd15a5bf2dd08eded50ce50b45ccc43c2cfa91918/shm
32     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/5ac7674e5c72c5b84231d2efd15a5bf2dd08eded50ce50b45ccc43c2cfa91918/rootfs
33     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/0a3ad301af6fb7de275d9d379d41057c2a9ce8c6f8792cf340af995aca01fe84/rootfs
34     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/2cf3778fdddf83876259c4c028cdb0a5f4bd9b3ec82a61bff06fc0e88c50e917/rootfs
35     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/a666411d5814cd463375a615c7ab3d780084b37e1c690389692baf93ade82030/rootfs
36     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/e62f5bf263cf7470313aaff0568231a29b6e5ee78e5d92bb1fb073b4b81e12a0/rootfs
37     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/a4550705e7f39cf975fc4282e12350e8bdd5f41ae9e8d2958689a0ac92665686/rootfs
38     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/bb0a4ecc70fc09a96de595cd2eca59ef00ba086bf59fe9827a9c96b7f05529f6/rootfs
39     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/4319b11a5712e0a7b8cf57809253f9516b481bf5d62a02819ad5ab77bf7bab00/rootfs
40     sys-monitor                            overlay   29G   6.5G   21G  24%  /run/k3s/containerd/io.containerd.runtime.v2.task/k8s.io/610168b4cbf5dc341ec56e2a5e9b5b26faa6d18dbf6ad3824b088ece1ef54ee4/rootfs
41     sys-monitor                              tmpfs  198M   8.0K  198M   1%                                                                                                                    /run/user/1001
